address,beds,baths,type,price,SqFt,listing#
195 Mccaul St 403 Toronto,1,1,Condo Apt Apartment,2100,500-599,C9377016
2791 Eglinton Ave E 507 Toronto,1,1,Condo Townhouse Stacked Townhse,2100,500-599,E9394060
127 Broadway Ave 502 Toronto,1,1,Condo Apt Apartment,2100,500-599,C10417144
39 Roehampton Ave 304 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10893865
1 Mallory Gdns 28 Toronto,1,1,Condo Apt Apartment,2100,600-699,C9752135
58 Orchard View Blvd 609 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10405950
195 Redpath Ave 2602 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10477024
319 Jarvis St 4205 Toronto,1,1,Condo Apt Apartment,2100,0-499,C9395137
181 Dundas St E 2807 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10423688
160 Kingsway Cres 703 Toronto,1+1,1,Condo Apt Apartment,2100,500-599,W10425259
500 Wilson Ave 442 Toronto,1+1,1,Condo Apt Apartment,2100,0-499,C10422094
425 Front St E 506 Toronto,1,1,Comm Element Condo Apartment,2100,500-599,C9770092
10 Laidlaw St 717 Toronto,1,1,Condo Townhouse Stacked Townhse,2100,500-599,W9419304
117 Broadway Ave 1306S Toronto,1,1,Condo Apt Apartment,2100,500-599,C10441742
101 Erskine Ave 2306 Toronto,1,1,Condo Apt Apartment,2100,0-499,C9509539
159 Dundas St E 1902 Toronto,1,1,Condo Apt Apartment,2100,500-599,C9983258
215 Queen St W 606 Toronto,1,1,Condo Apt Apartment,2100,0-499,C9302827
560 King St W 212 Toronto,1,1,Condo Apt Apartment,2100,0-499,C9396274
2404 Queen St 41 Toronto,1,1,Condo Apt Apartment,2100,500-599,E9419971
70 Town Centre Crt 1405 Toronto,1+1,1,Condo Apt Apartment,2100,600-699,E9565575
227 Sterling Rd 200 Toronto,1,1,Condo Apt Loft,2100,700-799,C10430249
385 Osler St 306 Toronto,1,1,Condo Apt Apartment,2100,500-599,W10290928
21 Lawren Harris Sq 1104 Toronto,1,1,Condo Apt Apartment,2100,500-599,C10422477
319 Jarvis St 5005 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10408984
195 McCaul St 1413 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10423567
90 Glen Everest Rd 616 Toronto,1+1,1,Condo Apt Apartment,2100,500-599,E9850531
8 Hillsdale Ave E 740 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10411604
117 Broadway Ave 407 Toronto,1,1,Condo Apt Apartment,2100,500-599,C10421056
399 Dupont St 205 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10424894
1051 Victoria Park Ave 2 Toronto,1,1,Condo Apt Apartment,2100,0-499,E8477594
36 Lisgar St 802E Toronto,1,1,Condo Apt Apartment,2100,0-499,C10707866
60 Shuter St 2612 Toronto,1+1,1,Condo Apt Apartment,2100,500-599,C9393006
125 Redpath Ave 1613 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10426808
185 Alberta Ave 401 Toronto,1,1,Condo Apt Apartment,2100,500-599,C9416842
425 Front St E 618 Toronto,1,1,Condo Apt Apartment,2100,500-599,C10431545
9 Tecumseth St 305 Toronto,1,1,Condo Apt Apartment,2100,500-599,C10228344
388 Brown's Line 1 Toronto,1,1,Condo Apt Apartment,2100,500-599,W9284947
82 Dalhousie St 1002 Toronto,1,1,Condo Apt Apartment,2100,0-499,C9344819
31 Tippett Rd 903 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10428346
101 Erskine Ave 1306 Toronto,1,1,Condo Apt Apartment,2100,0-499,C9510905
185 Alberta Ave 204 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10420814
2031 Kennedy Rd #1823 Toronto,1,1,Condo Apt Apartment,2100,0-499,E9362665
608 Richmond St. W 307 Toronto,1,1,Condo Apt Apartment,2100,0-499,C9419855
38 The Esplanade 901 Toronto,1,1,Condo Apt Apartment,2100,0-499,C9976116
125 Redpath Ave 908 Toronto,1,1,Condo Apt Apartment,2100,500-599,C9768257
5 Soudan Ave 915 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10405776
2A Church St 1303 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10426120
127 Broadway Ave 1406S Toronto,1,1,Condo Apt Apartment,2100,500-599,C10430911
2791 Eglington Ave 513 Toronto,1,1,Condo Townhouse Stacked Townhse,2100,500-599,E9512044
238 Simcoe St N 2902 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10425538
90 Glen Everest Rd N 306 Toronto,1,1,Condo Apt Apartment,2100,600-699,E10375862
2020 Bathurst St 517 Toronto,1,1,Condo Apt Apartment,2100,500-599,C9241322
117 Broadway Ave 504N Toronto,1,1,Condo Apt Apartment,2100,500-599,C10432097
210 Simcoe St 2209 Toronto,1,1,Condo Apt Apartment,2100,0-499,C9389076
127 Broadway Ave 617 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10417250
117 BROADWAY Ave 405 Toronto,1,1,Condo Apt Apartment,2100,500-599,C10421246
195 McCaul St 315 Toronto,1+1,1,Condo Apt Apartment,2100,500-599,C9390639
127 Broadway Ave 408 Toronto,1,1,Condo Apt Apartment,2100,600-699,C10427340
319 Jarvis St 505 Toronto,1,1,Condo Apt Apartment,2100,0-499,C9383998
77 SHUTER St 1715 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10410479
357 King St W 1904 Toronto,1,1,Condo Apt Apartment,2100,500-599,C10409799
195 McCaul St 523 Toronto,1,1,Condo Apt Apartment,2100,500-599,C10425616
783 Bathurst St 502 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10410350
100 Dalhousie St 1506 Toronto,1,1,Condo Apt Apartment,2100,0-499,C9506335
921 Midland Ave 206 Toronto,1,1,Condo Apt Apartment,2100,600-699,E10477040
36 Lisgar St 1107E Toronto,1+1,1,Condo Apt Apartment,2100,600-699,C10442505
1285 Dupont St 609 Toronto,1+1,1,Condo Apt Apartment,2100,600-699,W9371766
1 Mallory Gdns 2 Toronto,1,1,Condo Apt Apartment,2100,600-699,C9514066
105 The Queensway Ave 1309 Toronto,1,1,Condo Apt Apartment,2100,0-499,W10231386
15 Maplewood Ave 910 Toronto,1,1,Condo Apt Apartment,2100,0-499,C9372988
181 Dundas St E 2607 Toronto,1,1,Condo Apt Apartment,2125,0-499,C10414377
238 simcoe St 702 Toronto,1,1,Comm Element Condo Apartment,2125,500-599,C9349476
195 McCaul St 711 Toronto,1+1,1,Condo Apt Apartment,2145,500-599,C10427727
17 Zorra St 2005 Toronto,1,1,Condo Apt Apartment,2149,500-599,W10414953
310 Lonsdale Rd 03 Toronto,1,1,Condo Apt Apartment,2149,500-599,C10426576
127 Broadway Ave 410S Toronto,1,1,Condo Apt Apartment,2149,500-599,C10422268
9 Tecumseth St 901 Toronto,1,1,Condo Apt Apartment,2149,0-499,C9769729
77 Shuter St 2207 Toronto,1,1,Condo Apt Apartment,2150,500-599,C9230154
60 Shuter St 2010 Toronto,1,1,Condo Apt Apartment,2150,0-499,C10927891
425 Front St E 701 Toronto,1,1,Condo Apt Apartment,2150,0-499,C10405243
3655 kingston Rd 706 Toronto,1,1,Condo Apt Apartment,2150,500-599,E9364498
50 Power St 1806 Toronto,1,1,Condo Apt Apartment,2150,500-599,C10425281
38 Joe Shuster Way 1908 Toronto,1,1,Condo Apt Apartment,2150,0-499,C10430296
9 Mabelle Ave 1217 Toronto,1,1,Condo Apt Apartment,2150,500-599,W10427753
127 Broadway Ave 1210 Toronto,1,1,Condo Apt Apartment,2150,500-599,C10428881
90 Glen Everest Rd 401 Toronto,1+1,2,Condo Apt Apartment,2150,600-699,E10413156
5 Mabelle Ave 831 Toronto,1,1,Condo Apt Apartment,2150,500-599,W10413374
195 McCaul St 513 Toronto,1+1,1,Condo Apt Apartment,2150,500-599,C9389149
50 Bruyeres Mews 509 Toronto,1,1,Condo Apt Apartment,2150,500-599,C10425772
82 DALHOUSIE St 1116 Toronto,1,1,Condo Apt Apartment,2150,0-499,C10419038
38 Monte Kwinter Crt 727 Toronto,1+1,1,Condo Apt Apartment,2150,0-499,C9508470
195 McCaul St 309 Toronto,1+1,1,Condo Apt Apartment,2150,500-599,C10412911
77 Mutual St 907 Toronto,1,1,Condo Apt Apartment,2150,0-499,C10442494
260 Sackville St 312 Toronto,1,1,Condo Apt Apartment,2150,500-599,C10404864
55 Ontario St 901 Toronto,1,1,Condo Apt Apartment,2150,0-499,C10407007
565 Yonge St 4FL Toronto,1,1,Other Multi-Level,2150,700-799,C9767918
161 Roehampton Ave 233 Toronto,1,1,Comm Element Condo Apartment,2150,0-499,C10414482
195 McCaul St 213 Toronto,1+1,1,Condo Apt Apartment,2150,500-599,C10416236
403 Church St 711 Toronto,1,1,Condo Apt Apartment,2150,500-599,C9752014
90 Glen Everest Rd 403 Toronto,1+1,1,Condo Apt Apartment,2150,500-599,E10440591
127 Broadway Ave 1408 Toronto,1+1,1,Condo Apt Apartment,2150,500-599,C10441095
1787 St. Clair Ave W 907 Toronto,1,1,Condo Apt Apartment,2150,0-499,W10431363
90 Glen Everest Rd 409 Toronto,1,1,Condo Apt Apartment,2150,500-599,E10432816
320 Richmond St E 502 Toronto,1,1,Condo Apt Apartment,2150,500-599,C10426126
5 Mabelle Ave 334 Toronto,1+1,1,Condo Apt Apartment,2150,500-599,W9398721
621 Sheppard Ave E 530 Toronto,1,1,Condo Apt Apartment,2150,500-599,C9770177
127 Broadway Ave 702 Toronto,1,1,Condo Apt Apartment,2150,0-499,C10424717
219 Dundas St E 1505 Toronto,1,1,Condo Apt Apartment,2150,500-599,C10411596
225 Sumach St 2401 Toronto,1,1,Condo Apt Apartment,2150,500-599,C10428793
16 Brookers Lane 604 Toronto,1,1,Condo Apt Apartment,2150,0-499,W9513968
117 Broadway Ave 507 Toronto,1,1,Condo Apt Apartment,2150,500-599,C10428741
181 Dundas St 5007 Toronto,1,1,Condo Apt Apartment,2150,0-499,C10893779
3474 Yonge St 124 Toronto,1,1,Condo Apt Apartment,2150,0-499,C9510101
140 BERRY Rd 4 Toronto,1,1,Condo Apt Apartment,2150,600-699,W10413019
560 King St W 323 Toronto,1,1,Condo Apt Apartment,2150,500-599,C10428468
108 Peter St 1015 Toronto,1,1,Condo Apt Apartment,2150,0-499,C10432669
195 McCaul St 212 Toronto,1+1,1,Condo Apt Apartment,2150,500-599,C10442769
361 Front St W 512 Toronto,1+1,1,Condo Apt Apartment,2150,500-599,C10428635
195 McCaul St 316 Toronto,1+1,1,Condo Apt Apartment,2150,500-599,C9390662
195 McCaul St 514 Toronto,1+1,1,Condo Apt Apartment,2150,500-599,C9382644
127 Broadway Ave 2004S Toronto,1+1,1,Condo Apt Apartment,2150,500-599,C10845383
425 Front St E 615 Toronto,1+1,1,Condo Apt Apartment,2150,500-599,C9392002
68 Shuter St 508 Toronto,1,1,Condo Apt Apartment,2150,0-499,C9256085
425 Front St E 604 Toronto,1+1,1,Condo Apt Apartment,2150,500-599,C10405511
230 Simcoe St 1536 Toronto,1,1,Condo Apt Apartment,2150,0-499,C9384253
1808 St Clair Ave W 605 Toronto,1,1,Condo Apt Apartment,2150,500-599,W10440821
150 Logan Ave 540 Toronto,1,1,Condo Apt Apartment,2150,500-599,E10282954
