address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style
629 King St W 725 Toronto,1,1,Condo Apt Apartment,2475,0-499,C9014667,0,499,249.5,Condo Apartment,Apartment
60 Byng Ave 601 Toronto,1+1,1,Condo Apt Apartment,2475,600-699,C9380668,600,699,649.5,Condo Apartment,Apartment
20 Bruyeres Mews 2707 Toronto,1,1,Condo Apt Multi-Level,2475,600-699,C10431433,600,699,649.5,Condo Apartment,Multi-Level
4208 Dundas St W 817 Toronto,1+1,1,Condo Apt Apartment,2475,600-699,W9387102,600,699,649.5,Condo Apartment,Apartment
736 Bay St 1608 Toronto,1,1,Condo Apt Apartment,2475,600-699,C9410160,600,699,649.5,Condo Apartment,Apartment
38 Grand Magazine St 1930 Toronto,1+1,1,Condo Apt Apartment,2475,700-799,C9419088,700,799,749.5,Condo Apartment,Apartment
195 Mccaul St 415 Toronto,1,1,Condo Apt Apartment,2475,500-599,C9375589,500,599,549.5,Condo Apartment,Apartment
75 Canterbury Pl 2711 Toronto,1,1,Condo Apt Apartment,2475,500-599,C10384552,500,599,549.5,Condo Apartment,Apartment
955 Bay St 722 Toronto,1+1,1,Condo Apt Apartment,2480,600-699,C9308949,600,699,649.5,Condo Apartment,Apartment
219 Fort York Blvd E 1111 Toronto,1+1,1,Comm Element Condo Apartment,2480,700-799,C9392421,700,799,749.5,Common Element Condo,Apartment
125 Western Battery Rd 308 Toronto,1,1,Condo Apt Apartment,2480,600-699,C10410665,600,699,649.5,Condo Apartment,Apartment
2220 Lake Shore Blvd W 710 Toronto,1,1,Condo Apt Apartment,2480,500-599,W10416906,500,599,549.5,Condo Apartment,Apartment
15 Lower Jarvis St 2007 Toronto,1,1,Condo Apt Apartment,2480,600-699,C10430274,600,699,649.5,Condo Apartment,Apartment
25 Telegram Mews 1003 Toronto,1+1,1,Condo Apt Apartment,2488,500-599,C9769305,500,599,549.5,Condo Apartment,Apartment
21 Scollard St 404 Toronto,1,1,Condo Apt Apartment,2490,500-599,C10424751,500,599,549.5,Condo Apartment,Apartment
55 Charles St E 3908 Toronto,1,1,Condo Apt Apartment,2490,500-599,C10408482,500,599,549.5,Condo Apartment,Apartment
212 Eglinton Ave E 311 Toronto,1+1,1,Condo Apt Apartment,2490,700-799,C9769578,700,799,749.5,Condo Apartment,Apartment
61 Heintzman St 616 Toronto,1+1,1,Condo Apt Apartment,2490,600-699,W10875048,600,699,649.5,Condo Apartment,Apartment
68 Shuter St 2807 Toronto,1+1,1,Condo Apt Apartment,2490,500-599,C10431478,500,599,549.5,Condo Apartment,Apartment
400 Adelaide St E 1012 Toronto,1,1,Condo Apt Apartment,2490,600-699,C10412873,600,699,649.5,Condo Apartment,Apartment
125 Redpath Ave 715 Toronto,1+1,1,Condo Apt Apartment,2490,600-699,C10466816,600,699,649.5,Condo Apartment,Apartment
276 St George St 206 Toronto,1,1,Condo Apt Apartment,2495,500-599,C10874859,500,599,549.5,Condo Apartment,Apartment
10 Capreol Crt 343 Toronto,1+1,1,Condo Apt Apartment,2495,600-699,C10929155,600,699,649.5,Condo Apartment,Apartment
33 Helendale Ave 2205 Toronto,1+1,1,Condo Apt Apartment,2495,500-599,C10403237,500,599,549.5,Condo Apartment,Apartment
26 Olive St 206 Toronto,1+1,1,Condo Apt Apartment,2495,600-699,C9364348,600,699,649.5,Condo Apartment,Apartment
20 Shore Breeze Dr W 3502 Toronto,1+1,1,Condo Apt Apartment,2495,500-599,W10440596,500,599,549.5,Condo Apartment,Apartment
10 Yonge St 2410 Toronto,1+1,1,Condo Apt Apartment,2495,600-699,C9507991,600,699,649.5,Condo Apartment,Apartment
115 Larchmount Ave 503 Toronto,1,1,Condo Apt Apartment,2495,500-599,E10421849,500,599,549.5,Condo Apartment,Apartment
2525 Bathurst St 1111 Toronto,1,1,Condo Apt Apartment,2495,500-599,C10404929,500,599,549.5,Condo Apartment,Apartment
2300 St. Clair Ave W 409 Toronto,1+1,1,Condo Apt Apartment,2495,500-599,W9397767,500,599,549.5,Condo Apartment,Apartment
458 Richmond St W 802 Toronto,1,1,Condo Apt Apartment,2495,500-599,C10405298,500,599,549.5,Condo Apartment,Apartment
18 Maitland Terr S 1408 Toronto,1+1,1,Condo Apt Apartment,2499,500-599,C9385128,500,599,549.5,Condo Apartment,Apartment
