address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style,Lat,Lon
127 Broadway Ave 808 Toronto,1+1,1,Condo Townhouse Apartment,2250,500-599,C10442868,500,599,549.5,Condo Townhouse,Apartment,43.7118807,-79.3874828
28 Widmer St 4821 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10405608,500,599,549.5,Condo Apartment,Apartment,43.647437,-79.3916347
197 Yonge St 3603 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9385508,500,599,549.5,Condo Apartment,Apartment,43.6534405,-79.3792052
10 Park Lawn Rd 3106 Toronto,1,1,Condo Apt Apartment,2250,500-599,W10405795,500,599,549.5,Condo Apartment,Apartment,43.6229459,-79.4816583
219 Dundas St E 1901 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10428282,500,599,549.5,Condo Apartment,Apartment,43.657314,-79.373234
68 Abell St 536 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10433486,0,499,249.5,Condo Apartment,Apartment,43.6419636,-79.4239387
2031 Kennedy Rd 2518 Toronto,1,1,Condo Apt Apartment,2250,700-799,E10411414,700,799,749.5,Condo Apartment,Apartment,43.7717499,-79.2829632
181 Village Green Sq 1717 Toronto,1+1,1,Condo Apt Apartment,2250,600-699,E10893872,600,699,649.5,Condo Apartment,Apartment,43.7792326,-79.2815864
775 King St W 908 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9380152,500,599,549.5,Condo Apartment,Apartment,43.6431278,-79.4055057
18 Mondeo Dr 1032 Toronto,1,1,Condo Apt Apartment,2250,700-799,E10929195,700,799,749.5,Condo Apartment,Apartment,43.7648346,-79.2880932
45 Charles St E 3708 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10415169,500,599,549.5,Condo Apartment,Apartment,43.6687602,-79.3838568
170 Bayview Ave 1501 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10430800,500,599,549.5,Condo Apartment,Apartment,43.655417,-79.3539991
28 Widmer St 3721 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9394574,500,599,549.5,Condo Apartment,Apartment,43.647437,-79.3916347
460 Adelaide St E 501 Toronto,1,1,Condo Apt Apartment,2250,600-699,C10415720,600,699,649.5,Condo Apartment,Apartment,54.660979,-1.6760831
3 Pemberton Ave 709 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10440849,500,599,549.5,Condo Apartment,Apartment,43.7804692,-79.4137437
1030 King St W 308 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9379352,0,499,249.5,Condo Apartment,Apartment,43.6496646,-79.3759644
250 LAWRENCE Ave W 415 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C10440709,500,599,549.5,Condo Apartment,Apartment,43.7226386,-79.4133376
4955 Yonge St 818 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9461509,0,499,249.5,Condo Apartment,Apartment,43.6499676,-79.3760872
115 Blue Jays Way 723 Toronto,1,1,Comm Element Condo Apartment,2250,500-599,C10403182,500,599,549.5,Common Element Condo,Apartment,43.6455075,-79.3919735
60 Shuter St 609 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10427149,0,499,249.5,Condo Apartment,Apartment,43.6563463,-79.368008
21 Vaughan Rd 2207 Toronto,1,1,Condo Apt Apartment,2250,600-699,C9389991,600,699,649.5,Condo Apartment,Apartment,43.6825154,-79.418309
6 Sonic Way 3101 Toronto,1+1,2,Condo Apt Apartment,2250,600-699,C10420480,600,699,649.5,Condo Apartment,Apartment,43.70011,-79.4163
38 Cameron St 425 Toronto,1,1,Condo Apt Apartment,2250,600-699,C9768456,600,699,649.5,Condo Apartment,Apartment,43.6496558,-79.3982289
65 George Appleton Way 2064 Toronto,1,1,Condo Apt 2-Storey,2250,500-599,W10426318,500,599,549.5,Condo Apartment,2-Storey,43.7251733,-79.4810195
15 Lower Jarvis St 3704 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10432749,0,499,249.5,Condo Apartment,Apartment,43.6450099,-79.3694682
21 Vaughan Rd 307 Toronto,1,1,Condo Apt Apartment,2250,600-699,C9350733,600,699,649.5,Condo Apartment,Apartment,43.6821068,-79.418266
1 Scott St 3005 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9306807,0,499,249.5,Condo Apartment,Apartment,43.6468371,-79.3751309
159 Wellesley St E 2902 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10413527,0,499,249.5,Condo Apartment,Apartment,43.6668404,-79.3748347
95 George Appleton Way 2162 Toronto,1,1,Condo Townhouse Stacked Townhse,2250,500-599,W9361469,500,599,549.5,Condo Townhouse,Stacked Townhse,43.7253955,-79.4799777
28 Freeland St 1403 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10427170,500,599,549.5,Condo Apartment,Apartment,43.6435571,-79.3735859
197 Yonge St 2104 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10415474,500,599,549.5,Condo Apartment,Apartment,43.6534405,-79.3792052
108 Peter St 2309 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10430756,0,499,249.5,Condo Apartment,Apartment,43.6476319,-79.3934535
275 Village Green Sq 617 Toronto,1,1,Condo Apt Apartment,2250,0-499,E10404917,0,499,249.5,Condo Apartment,Apartment,43.7777497,-79.283306
33 LOMBARD St 2105 Toronto,1,1,Condo Apt Other,2250,0-499,C10010749,0,499,249.5,Condo Apartment,Other,43.6520522,-79.3740577
816 Lansdowne Ave 706 Toronto,1,1,Condo Apt Apartment,2250,500-599,W9300674,500,599,549.5,Condo Apartment,Apartment,43.675988,-79.4504406
75 Canterbury Pl 2010 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10405056,0,499,249.5,Condo Apartment,Apartment,43.7742622,-79.4150671
127 Broadway Ave 1904 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C10845389,500,599,549.5,Condo Apartment,Apartment,43.7109296,-79.3916966
460 Adelaide St E 2107 Toronto,1+1,1,Condo Apt Apartment,2250,600-699,C10288170,600,699,649.5,Condo Apartment,Apartment,54.660979,-1.6760831
205 Frederick St 713 Toronto,1,1,Condo Apt Apartment,2250,600-699,C10440508,600,699,649.5,Condo Apartment,Apartment,43.651804,-79.369677
99 Broadway Ave 2007 Nt Toronto,1,1,Condo Apt Apartment,2250,0-499,C10412459,0,499,249.5,Condo Apartment,Apartment,43.70011,-79.4163
20 Thomas Riley Rd W 608 Toronto,1,1,Condo Apt Apartment,2250,500-599,W9356361,500,599,549.5,Condo Apartment,Apartment,43.6336607,-79.5410306
21 Lawren Harris Sq 610 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C10291544,500,599,549.5,Condo Apartment,Apartment,43.6551841,-79.354538
251 Jarvis St W 3912 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C10426615,500,599,549.5,Condo Apartment,Apartment,43.6497335,-79.3715855
55 Cooper St 2208 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9416545,500,599,549.5,Condo Apartment,Apartment,43.644023,-79.3719292
760 The Queensway 510 Toronto,1+1,1,Condo Apt Apartment,2250,600-699,W9506428,600,699,649.5,Condo Apartment,Apartment,43.6259944,-79.5046744
1 Rean Dr 1211 Toronto,1,1,Condo Apt Apartment,2250,600-699,C10441424,600,699,649.5,Condo Apartment,Apartment,43.7649811,-79.38346
78 Tecumseth St 1511 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10428771,500,599,549.5,Condo Apartment,Apartment,43.643497,-79.4054452
128 Fairview Mall Dr 907 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10402941,0,499,249.5,Condo Apartment,Apartment,43.7791413,-79.3483486
181 Village Green Sq 1417 Toronto,1+1,1,Condo Apt Apartment,2250,600-699,E9382922,600,699,649.5,Condo Apartment,Apartment,43.7792326,-79.2815864
2191 Yonge St 604 Toronto,1,1,Condo Apt Apartment,2250,600-699,C10405625,600,699,649.5,Condo Apartment,Apartment,43.7974747,-79.4198142
50 Brian Harrison Way 1906 Toronto,1,1,Condo Apt Apartment,2250,500-599,E10425273,500,599,549.5,Condo Apartment,Apartment,43.7737095,-79.2588818
555 Yonge St N #904 Toronto,1,1,Condo Apt Apartment,2250,600-699,C9400576,600,699,649.5,Condo Apartment,Apartment,43.7342675,-79.4045398
88 Grangeway Ave 1801 Toronto,1,1,Condo Apt Apartment,2250,600-699,E9513927,600,699,649.5,Condo Apartment,Apartment,43.7737102,-79.2493208
260 Sackville St 912 Toronto,1,1,Condo Apt Multi-Level,2250,500-599,C9359182,500,599,549.5,Condo Apartment,Multi-Level,43.661483,-79.3636256
170 Bayview Ave 1101 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9379044,500,599,549.5,Condo Apartment,Apartment,43.655417,-79.3539991
36 Zorra St 3101 Toronto,1,1,Comm Element Condo Apartment,2250,0-499,W10423053,0,499,249.5,Common Element Condo,Apartment,43.6197444,-79.5217783
458 Richmond St W 704 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9382102,0,499,249.5,Condo Apartment,Apartment,43.647816,-79.3974442
14 York St 2811 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10432634,500,599,549.5,Condo Apartment,Apartment,43.6420366,-79.3816147
33 Charles St E 2302 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10430011,0,499,249.5,Condo Apartment,Apartment,43.6686495,-79.3844882
15 Iceboat Terr 2511 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10413624,500,599,549.5,Condo Apartment,Apartment,43.6405275,-79.3968099
500 Wilson Ave 636 Toronto,1+1,2,Condo Apt Apartment,2250,500-599,C10424464,500,599,549.5,Condo Apartment,Apartment,43.7351743,-79.4450911
120 Parliament St 410 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C9396179,500,599,549.5,Condo Apartment,Apartment,43.6539987,-79.3639077
255 Village Green Sq 2709 Toronto,1,1,Condo Apt Apartment,2250,500-599,E10430196,500,599,549.5,Condo Apartment,Apartment,43.7773225,-79.2849336
99 Broadway Ave 2612 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9271845,0,499,249.5,Condo Apartment,Apartment,43.7106014,-79.3933234
33 Isabella St 1710 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9375418,0,499,249.5,Condo Apartment,Apartment,43.6676271,-79.3836681
508 WELLINGTON St W 1002 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9387803,0,499,249.5,Condo Apartment,Apartment,43.6432175,-79.3990466
1 Scott St 2905 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9388855,0,499,249.5,Condo Apartment,Apartment,43.6468371,-79.3751309
33 Isabella St 2507 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10407613,500,599,549.5,Condo Apartment,Apartment,43.6676271,-79.3836681
33 Frederick Todd Way 501 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C10427099,500,599,549.5,Condo Apartment,Apartment,43.70011,-79.4163
830 Lawrence Ave W 1703 Toronto,1,1,Condo Apt Other,2250,500-599,W9373601,500,599,549.5,Condo Apartment,Other,43.7147231,-79.4544137
1928 Lakeshore Blvd W 2603 Toronto,1,1,Condo Apt Apartment,2250,0-499,W10412486,0,499,249.5,Condo Apartment,Apartment,43.6059252,-79.4903144
125 Peter St 2410 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9388510,0,499,249.5,Condo Apartment,Apartment,43.64921,-79.3936005
