address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style,LAT,LONG
115 Mcmahon Dr 2502 Toronto,1+1,1,Condo Apt Apartment,2600,500-599,C10422430,500,599,549.5,Condo Apartment,Apartment,43.7669863,-79.37104200000002
5162 Yonge St 2508 Toronto,1,1,Condo Apt Apartment,2600,500-599,C9399294,500,599,549.5,Condo Apartment,Apartment,43.7696494,-79.4138759
135 East Liberty St 2006 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C10418578,600,699,649.5,Condo Apartment,Apartment,43.638566,-79.416906
50 BRUYERES Mews 902 Toronto,1,1,Condo Apt Apartment,2600,500-599,C9294494,500,599,549.5,Condo Apartment,Apartment,43.6376722,-79.40213829999999
50 Ordnance St 2903 Toronto,1,1,Condo Apt Apartment,2600,500-599,C9386225,500,599,549.5,Condo Apartment,Apartment,43.6397778,-79.40995889999999
503 Beecroft Rd 103 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C9394872,600,699,649.5,Condo Apartment,Apartment,43.7784814,-79.4178161
120 Lombard St 307 Toronto,1,1,Condo Apt Apartment,2600,500-599,C10405572,500,599,549.5,Condo Apartment,Apartment,43.6525393,-79.37304259999999
95 Bathurst St 621 Toronto,1,1,Condo Apt Apartment,2600,700-799,C10442539,700,799,749.5,Condo Apartment,Apartment,43.6445805,-79.40255789999999
397 Front St W 316 Toronto,1+1,1,Condo Apt Apartment,2600,500-599,C9282910,500,599,549.5,Condo Apartment,Apartment,43.6426397,-79.3935863
25 Richmond St E 2406 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C9361131,600,699,649.5,Condo Apartment,Apartment,43.6519017,-79.37721650000002
25 Adra Grado Way 257 Toronto,1+1,1,Condo Apt Apartment,2600,500-599,C9256806,500,599,549.5,Condo Apartment,Apartment,43.7763756,-79.3659472
18 Kenaston Gdns 306 Toronto,1+1,2,Condo Apt Apartment,2600,700-799,C10417761,700,799,749.5,Condo Apartment,Apartment,43.7655842,-79.38603069999999
18 Harbour St 3307 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C10414854,600,699,649.5,Condo Apartment,Apartment,43.6427966,-79.3769891
20 Minowan Miikan Lane 913 Toronto,1,1,Condo Apt Apartment,2600,500-599,C10433123,500,599,549.5,Condo Apartment,Apartment,43.6432774,-79.4282542
218 Queens Quay W 507 Toronto,1,1,Condo Apt Apartment,2600,600-699,C9410283,600,699,649.5,Condo Apartment,Apartment,43.6399111,-79.3820853
318 Richmond St W 907 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C10410519,600,699,649.5,Condo Apartment,Apartment,43.64895629999999,-79.39220739999999
30 Ordnance St 508 Toronto,1,1,Condo Apt Apartment,2600,600-699,C10409171,600,699,649.5,Condo Apartment,Apartment,43.63983169999999,-79.4098558
30 Shore Breeze Dr 3818 Toronto,1+1,1,Condo Apt Apartment,2600,0-499,W10414720,0,499,249.5,Condo Apartment,Apartment,43.62377619999999,-79.47963299999999
10 Queens Quay W 603 Toronto,1,1,Condo Apt Apartment,2600,700-799,C10427740,700,799,749.5,Condo Apartment,Apartment,43.6418407,-79.3757998
70 Temperance St 2207 Toronto,1+1,1,Condo Apt Apartment,2600,500-599,C10428848,500,599,549.5,Condo Apartment,Apartment,43.6505301,-79.3821482
211 Randolph Rd 409 Toronto,1,1,Condo Apt Apartment,2600,800-899,C9509674,800,899,849.5,Condo Apartment,Apartment,43.7099822,-79.3641997
31 Tippett Rd 332 Toronto,1+1,2,Condo Apt Apartment,2600,600-699,C10428737,600,699,649.5,Condo Apartment,Apartment,43.73349959999999,-79.4460831
20 Edward St 2121 Toronto,1+1,1,Condo Apt Apartment,2600,500-599,C10415070,500,599,549.5,Condo Apartment,Apartment,43.6569939,-79.3821206
36 Park Lawn Rd 3301 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,W9361997,600,699,649.5,Condo Apartment,Apartment,43.6235942,-79.4845177
10 De Boers Dr 615 Toronto,1+1,2,Condo Apt Apartment,2600,600-699,W9369941,600,699,649.5,Condo Apartment,Apartment,43.752059,-79.4643103
