"listing-card__contact-button href","Listing price","Verified","Updated","Bed","Bathroom","sqft","Address","listing-card__details-link href"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=9&sort=cheapest#","$2100","Verified","","1","1","699","22 East Haven Drive, Toronto, ON","https://rentals.ca/toronto/22-east-haven-drive"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=9&sort=cheapest#","$2100","Verified","1 day ago","1","1","531","2920 Highway 7, Vaughan, ON","https://rentals.ca/vaughan/2920-highway-7"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=9&sort=cheapest#","$2100","Verified","1 day ago","1","1.5","600","721 Lawrence Avenue West, Toronto, ON","https://rentals.ca/toronto/721-lawrence-avenue-west"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=9&sort=cheapest#","$2100","","","1","1","600","3401 Ridgeway Drive, Mississauga, ON","https://rentals.ca/mississauga/3401-ridgeway-drive-1"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=9&sort=cheapest#","$2100","","Recently Updated!","0.5","1","520","19 Singer Court, North York, ON","https://rentals.ca/north-york/19-singer-court-4"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=9&sort=cheapest#","$2100","Verified","","1","1","500","219 Dundas Street East, Toronto, ON","https://rentals.ca/toronto/219-dundas-street-east-4"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=10&sort=cheapest#","$2150","Verified","","1","1","500","49 East Liberty Street, Toronto, ON","https://rentals.ca/toronto/49-east-liberty-street-id907137"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=10&sort=cheapest#","$2150","Verified","","2","1","980","90 Canon Jackson Drive, Toronto, ON","https://rentals.ca/toronto/90-canon-jackson-drive-3"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=10&sort=cheapest#","$2150","Verified","","1","1","600","7 Mabelle Avenue, Toronto, ON","https://rentals.ca/toronto/7-mabelle-avenue-5"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=10&sort=cheapest#","$2150","Verified","1 day ago","2","1","499","395 Dundas Street, Oakville, ON","https://rentals.ca/oakville/615-395-dundas-street-w"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=10&sort=cheapest#","$2150","","","1","1","530","319 Carlaw Avenue, Toronto, ON","https://rentals.ca/toronto/319-carlaw-avenue-id902159"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=10&sort=cheapest#","$2150","Verified","","1","1","540","560 Front Street West, Toronto, ON","https://rentals.ca/toronto/560-front-street-west-id905998"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=10&sort=cheapest#","$2150","","Recently Updated!","1.5","1","520","425 Front Street East, Toronto, ON","https://rentals.ca/toronto/425-front-street-east-id909698"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=10&sort=cheapest#","$2150","Verified","","1.5","1","600","117 Broadway Avenue, Toronto, ON","https://rentals.ca/toronto/117-broadway-avenue-6"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=10&sort=cheapest#","$2150","Verified","","1","1","500","195 MCCAUL Street, Toronto, ON","https://rentals.ca/toronto/195-mccaul-street-unit-603"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=10&sort=cheapest#","$2150","","Recently Updated!","0","1","400","955 Bay Street, Toronto, ON","https://rentals.ca/toronto/955-bay-street-id822159"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=11&sort=cheapest#","$2150","","Recently Updated!","0","1","400","197 Yonge Street, Toronto, ON","https://rentals.ca/toronto/197-yonge-street-id694648"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=11&sort=cheapest#","$2150","","","1","1","510","38 Grenville Street, Toronto, ON","https://rentals.ca/toronto/38-grenville-street"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=11&sort=cheapest#","$2175 - $2900","Verified","","1 - 2","1 - 2","593 - 904","286 Main Street, Toronto, ON","https://rentals.ca/toronto/linx"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=11&sort=cheapest#","$2175","","7 hours ago","1","1","600","10 Wilby Crescent, Toronto, ON","https://rentals.ca/toronto/10-wilby-crescent-id740401"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=11&sort=cheapest#","$2180","Verified","","1","1","550","4011 Brickstone Mews, Mississauga, ON","https://rentals.ca/mississauga/4011-brickstone-mews-id907099"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=11&sort=cheapest#","$2180","Verified","","1","1","405","155 Yorkville Ave, Toronto, ON","https://rentals.ca/toronto/155-yorkville-ave"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=11&sort=cheapest#","$2190","Verified","","1.5","1.5","650","1350 Ellesmere Road, Scarborough, ON","https://rentals.ca/scarborough/318-1350-ellesmere-rd-scarborough-ontario-m1p-5a5"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=11&sort=cheapest#","$2190","","","1","1","500","55 Ontario Street, Toronto, ON","https://rentals.ca/toronto/55-ontario-street-6"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=11&sort=cheapest#","$2195","Verified","1 day ago","1","1","550","5025 Harvard Road, Mississauga, ON","https://rentals.ca/mississauga/201-5025-harvard-rd-mississauga-ontario-l5m-0w6"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=11&sort=cheapest#","$2195","","Recently Updated!","0","1","500","210 Victoria Street, Toronto, ON","https://rentals.ca/toronto/210-victoria-street-id723191"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=12&sort=cheapest#","$2199","Verified","Recently Updated!","1","1","500","195 Commerce Street, Vaughan, ON","https://rentals.ca/vaughan/195-commerce-street"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=12&sort=cheapest#","$2200","","Recently Updated!","1","1","500","270 Dufferin Street, Toronto, ON","https://rentals.ca/toronto/270-dufferin-street-id910003"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=12&sort=cheapest#","$2200","","","0.5","0.5","565","75 Saint Nicholas Street, Toronto, ON","https://rentals.ca/toronto/75-saint-nicholas-street-id908783"
