Property URL,Property type,Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/b/building/43.625854,-79.47812_ll/","Building","","","","","","","39 Annie Craig Dr","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.64905,-79.386154_ll/","Building","","","","","","","180 University Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/61-markbrook-ln-toronto-on-BMJrpS/","Building","","","","","","","61 Markbrook Ln","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/188-fairview-mall-drive-don-valley-village-toronto-on-BqdmWL/","Building","","","","","","","188 Fairview Mall Dr","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/68-abell-st-toronto-on-BMKN8m/","Building","","","","","","","68 Abell St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/10-eva-rd-etobicoke-on-BMY5Zf/","Building","","","","","","","10 Eva Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/36-park-lawn-rd-toronto-on-BMKNC2/","Building","","","","","","","36 Park Lawn Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/125-Western-Battery-Rd-UNIT-308-Toronto-ON-M6K-3R8/442406666_zpid/","Condominium","2480","","","","1","1","125 Western Battery Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/15-mercer-st-toronto-on-BMLF3Y/","Building","","","","","","","15 Mercer St","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/49-McCaul-St-562-Toronto-ON-M5T-2W7/442406690_zpid/","Condominium","3500","","","","2","1","49 McCaul St","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/1238-Dundas-St-E-502-Toronto-ON-M4M-0C6/2060250007_zpid/","Condominium","3100","","","","2","2","1238 Dundas St E","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/155-yorkville-ave-toronto-on-BMCMJC/","Building","","","","","","","155 Yorkville Ave  Unit 1105","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.733253,-79.44602_ll/","Building","","","","","","","31 Tippett Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/2-Covington-Rd-PENTHOUSE-210-Toronto-ON-M6A-3E2/2071867176_zpid/","Condominium","3700","","","","2","2","2 Covington Rd PENTHOUSE 210","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.63799,-79.4149_ll/","Building","","","","","","","75 Liberty St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.66956,-79.38466_ll/","Building","","","","","","","35 Hayden St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.637466,-79.41845_ll/","Building","","","","","","","5 Hanna Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.734467,-79.44637_ll/","Building","","","","","","","525 Wilson Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/181-wynford-dr-north-york-on-BMCMHV/","Building","","","","","","","181 Wynford Dr","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/185-roehampton-ave-toronto-on-BMCMSX/","Building","","","","","","","185 Roehampton Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/2031-kennedy-rd-toronto-on-CcDj6K/","Building","","","","","","","2031 Kennedy Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/327-king-st-w-toronto-on-CfY3KD/","Building","","","","","","","327 King St W","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/585-bloor-st-e-toronto-on-BMJrpP/","Building","","","","","","","585 Bloor St E","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/8-cumberland-st-toronto-on-BMLDxR/","Building","","","","","","","8 Cumberland St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/195-mccaul-st-toronto-on-Cgnxw6/","Building","","","","","","","195 McCaul St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/630-queen-st-e-toronto-on-BMRGrM/","Building","","","","","","","630 Queen St E","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/151-Walmer-Rd-BASEMENT-Toronto-ON-M5R-2X8/442406689_zpid/","Apartment","1900","","","","1","1","151 Walmer Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/127-broadway-ave-toronto-on-BW7q3p/","Building","","","","","","","127 Broadway Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/apartments/toronto-on/115-blue-jays-way/Bc665S/","Building","","","","","","","115 Blue Jays Way","Toronto","NaN","ON","USA"
