Listing ID,Address,Bedrooms,Bathrooms,Living Area (sqft),Latitude,Longitude,Neighbourhood,Neighbourhood Rank,Rent Price (CAD)
378307887,300 Saint Clair Ave W,1+0,1.0,744.0,43.685074,-79.41073,Casa Loma,29.0,2500.0
440160225,650 Woodbine Ave,1+0,1.0,600.0,43.678288,-79.310135,Woodbine Corridor,42.0,2325.0
2078022859,120 Maitland St,1+0,1.0,500.0,43.665295,-79.378624,Church-Wellesley,28.0,1975.0
344796266,595 Brookdale Ave,1+0,1.0,650.0,43.724266,-79.42951,Bedford Park-Nortown,46.0,2459.0
407891452,3896 Bathurst St,1+0,1.0,565.0,43.74396,-79.43615,Clanton Park,76.0,2143.0
440157572,300 Antibes Dr,1+0,1.0,631.0,43.781292,-79.45003,Westminster-Branson,110.0,2375.0
2054245374,1251 King St W,1+0,1.0,721.0,43.63819,-79.42972,South Parkdale,144.0,2124.0
2070458081,6 Sonic Way,1+0,1.0,699.0,43.72016,-79.33666,Flemingdon Park,109.0,2500.0
2080848099,125 Omni Dr,1+0,1.0,652.0,43.771038,-79.26014,Bendale-Glen Andrew,124.0,2500.0
2078237628,55 Harrison Garden Blvd,1+0,1.0,799.0,43.75682,-79.407135,Avondale,4.0,2600.0
2080848336,11 Bogert Ave,1+0,1.0,599.0,43.760334,-79.41165,Lansing-Westgate,33.0,2700.0
E9416947,50 Orchid Place Dr Room 1 Toronto,1+0,1.0,1099.5,43.7931996,-79.23689399999999,Malvern East,79.0,1000.0
E9399099,330 Village Green Sq 8 Toronto,1+0,2.0,1299.5,43.7781372,-79.2825076,Agincourt South-Malvern West,94.0,1100.0
E10431570,3 Falaise Rd A2 Toronto,1+0,1.0,1499.5,43.7693181,-79.188958,West Hill,156.0,1200.0
W10407655,10 Eddystone Ave 241 Toronto,1+0,2.0,1299.5,43.7492458,-79.5167052,Glenfield-Jane Heights,143.0,1200.0
W10423767,872 Browns Line 2 Toronto,1+0,1.0,1099.5,43.6098799,-79.54930999999999,Alderwood,86.0,1250.0
C10441325,55 Cedarcroft Blvd 12 Toronto,1+0,1.0,1299.5,43.7826809,-79.44931319999999,Westminster-Branson,110.0,1250.0
C9295556,177 Linus Rd 1014 Toronto,1+0,1.0,949.5,43.7913188,-79.3571833,Don Valley Village,111.0,1280.0
E9381394,350 Alton Towers Circ 907 Toronto,1+1,1.0,749.5,43.8228272,-79.27515439999999,Milliken,87.0,1300.0
C10884899,57 Finch Ave 27 Toronto,1+0,1.0,949.5,43.778484,-79.42046069999999,Willowdale West,54.0,1350.0
E10422806,11753 Sheppard Ave E 420 Toronto,1+0,1.0,1099.5,43.7995769,-79.1483164,West Rouge,98.0,1350.0
E10415851,E18 Orchid Pl Room 2 Toronto,1+0,1.0,1099.5,43.7933637,-79.2354938,Malvern East,79.0,1400.0
C9398305,1121 Bay St 1402 Toronto,1+0,1.0,1099.5,43.6679864,-79.3885486,Bay-Cloverhill,8.0,1400.0
E9396307,1378 Danforth Ave 3 Toronto,1+0,1.0,649.5,43.6825313,-79.3281852,Danforth,1.0,1400.0
E9255134,7 Falaise Rd A Toronto,1+0,1.0,249.5,43.76943,-79.18897,West Hill,156.0,1400.0
C9256479,420 Lake Shore G02 Blvd W 2nd Bed Toronto,1+0,1.0,249.5,43.6374172,-79.3976572,Harbourfront-CityPlace,21.0,1450.0
W10929171,757 Dovercourt Rd F Toronto,1+0,1.0,249.5,43.6615607,-79.4294144,Dovercourt Village,23.0,1495.0
