Property URL,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Image URL,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,Latitude,Longitude,Zillow property ID,Property is a building,Building name,Unit availability count
"https://www.zillow.com/b/2031-kennedy-rd-toronto-on-CcDj6K/","Building","","","","","","","","","","","","","2031 Kennedy Rd","Toronto","NaN","43.786415","-79.28942","43.786415--79.28942","Yes","Orange-Four Building (Randomly generated building name as it is not provided by Zillow)","6"
"https://www.zillow.com/b/2031-kennedy-rd-toronto-on-CcDj6K/","Apartment","","","2280","","","","2","","","","","","2031 Kennedy Rd","Toronto","NaN","","","","No","Unit located in: Orange-Four Building",""
"https://www.zillow.com/b/15-fort-york-blvd-toronto-on-BMCMNt/","Building","","","","","","","","","","","","","15 Fort York Blvd","Toronto","NaN","43.640087","-79.39396","43.640087--79.39396","Yes","Orange-Six Building (Randomly generated building name as it is not provided by Zillow)","3"
"https://www.zillow.com/b/15-fort-york-blvd-toronto-on-BMCMNt/","Apartment","","","3200","","","","2","","","","","","15 Fort York Blvd","Toronto","NaN","","","","No","Unit located in: Orange-Six Building",""
"https://www.zillow.com/homedetails/500-Saint-Clair-Ave-W-1402-Toronto-ON-M6C-1A8/442373926_zpid/","Apartment","0","11/06/2024","3200","","","","2","2","https://photos.zillowstatic.com/fp/6f9500ab0a60714203da390c2f44345a-p_e.jpg","No","No","# 1402","500 Saint Clair Ave W","Toronto","NaN","43.683357","-79.41863","442373926","","",""
"https://www.zillow.com/b/11-brunel-toronto-on-BMJ9Fv/","Building","","","","","","","","","https://photos.zillowstatic.com/fp/82166436721b975e7a5dbd19046d2cde-p_e.jpg","","","","11 Brunel Ct","Toronto","NaN","43.639343","-79.392975","43.639343--79.392975","Yes","Red-Nine Building (Randomly generated building name as it is not provided by Zillow)","3"
"https://www.zillow.com/b/11-brunel-toronto-on-BMJ9Fv/","Apartment","","","2700","","","","2","","","","","","11 Brunel Ct","Toronto","NaN","","","","No","Unit located in: Red-Nine Building",""
"https://www.zillow.com/b/31-tippett-rd-toronto-on-Br9fbj/","Building","","","","","","","","","https://photos.zillowstatic.com/fp/68f33501ad22dddbcffe0fa41ba77bb9-p_e.jpg","","","","31 Tippett Rd","Toronto","NaN","43.733253","-79.44602","43.733253--79.44602","Yes","Orange-Seven Building (Randomly generated building name as it is not provided by Zillow)","6"
"https://www.zillow.com/b/31-tippett-rd-toronto-on-Br9fbj/","Apartment","","","2400","","","","2","","","","","","31 Tippett Rd","Toronto","NaN","","","","No","Unit located in: Orange-Seven Building",""
"https://www.zillow.com/homedetails/275-Bamburgh-Cir-1011-Toronto-ON-M1W-3X4/352024482_zpid/","Condominium","0","11/06/2024","2550","","","","2","1","https://photos.zillowstatic.com/fp/22324c7da7c2ae90acbe5a9bd8fe4dea-p_e.jpg","No","No","# 1011","275 Bamburgh Cir","Toronto","NaN","43.813614","-79.32341","352024482","","",""
"https://www.zillow.com/b/widmer-toronto-on-BMLF2R/","Building","","","","","","","","","https://photos.zillowstatic.com/fp/5fa9e644be2aa895b4810eacb337edac-p_e.jpg","","","","8 Widmer St Space H01","Toronto","NaN","43.64676","-79.39181","43.64676--79.39181","Yes","Blue-Five Building (Randomly generated building name as it is not provided by Zillow)","9"
"https://www.zillow.com/b/widmer-toronto-on-BMLF2R/","Apartment","","","250","","","","2","","","","","","8 Widmer St Space H01","Toronto","NaN","","","","No","Unit located in: Blue-Five Building",""
"https://www.zillow.com/b/10-navy-wharf-ct-toronto-on-BMCQgd/","Building","","","","","","","","","https://photos.zillowstatic.com/fp/fda77a5f633149259febd4d2f71bac27-p_e.jpg","","","","10 Navy Wharf Ct","Toronto","NaN","43.640324","-79.391754","43.640324--79.391754","Yes","Orange-Eight Building (Randomly generated building name as it is not provided by Zillow)","2"
"https://www.zillow.com/b/10-navy-wharf-ct-toronto-on-BMCQgd/","Apartment","","","2800","","","","2","","","","","","10 Navy Wharf Ct","Toronto","NaN","","","","No","Unit located in: Orange-Eight Building",""
"https://www.zillow.com/b/18-yonge-st-toronto-on-BMCM9z/","Building","","","","","","","","","https://photos.zillowstatic.com/fp/4e1fe7c3dce513daa7bc15a35dc2eb45-p_e.jpg","","","","18 Yonge St","Toronto","NaN","43.644543","-79.37648","43.644543--79.37648","Yes","Red-Five Building (Randomly generated building name as it is not provided by Zillow)","7"
"https://www.zillow.com/b/18-yonge-st-toronto-on-BMCM9z/","Apartment","","","2699","","","","2","","","","","","18 Yonge St","Toronto","NaN","","","","No","Unit located in: Red-Five Building",""
"https://www.zillow.com/b/127-broadway-ave-toronto-on-BW7q3p/","Building","","","","","","","","","https://photos.zillowstatic.com/fp/38488fa72b4cce24f6824511c2430d29-p_e.jpg","","","","127 Broadway Ave","Toronto","NaN","43.710392","-79.39221","43.710392--79.39221","Yes","Orange-One Building (Randomly generated building name as it is not provided by Zillow)","2"
"https://www.zillow.com/b/127-broadway-ave-toronto-on-BW7q3p/","Apartment","","","2300","","","","2","","","","","","127 Broadway Ave","Toronto","NaN","","","","No","Unit located in: Orange-One Building",""
"https://www.zillow.com/b/4955-yonge-st-toronto-on-CC99cG/","Building","","","","","","","","","https://photos.zillowstatic.com/fp/b71318172f0b4f308725e542874355ec-p_e.jpg","","","","4955 Yonge St","Toronto","NaN","43.765034","-79.41152","43.765034--79.41152","Yes","Orange-Seven Building (Randomly generated building name as it is not provided by Zillow)","17"
"https://www.zillow.com/b/4955-yonge-st-toronto-on-CC99cG/","Apartment","","","2350","","","","2","","","","","","4955 Yonge St","Toronto","NaN","","","","No","Unit located in: Orange-Seven Building",""
"https://www.zillow.com/b/25-oxley-st-toronto-on-BMJFgr/","Building","","","","","","","","","https://photos.zillowstatic.com/fp/90d5283304f31c4a37d68020518a1dc0-p_e.jpg","","","","25 Oxley St","Toronto","NaN","43.64627","-79.39453","43.64627--79.39453","Yes","Blue-Two Building (Randomly generated building name as it is not provided by Zillow)","2"
"https://www.zillow.com/b/25-oxley-st-toronto-on-BMJFgr/","Apartment","","","3500","","","","2","","","","","","25 Oxley St","Toronto","NaN","","","","No","Unit located in: Blue-Two Building",""
