Listing ID,Source,Address,Bedrooms,Bathrooms,Living Area (sqft),Latitude,Longitude,Neighbourhood,Neighbourhood Rank,Rent Price (CAD)
439505004,Zillow,7 Fairbank Ave,3.0,2.0,1006.0,43.695457,-79.45276,Briar Hill-Belgravia,100.0,4200.0
440276467,Zillow,10 Roanoke Rd,3.0,2.0,1250.0,43.74144,-79.32923,Parkwoods-O'Connor Hills,115.0,3600.0
2062273944,Zillow,525 Adelaide St W,3.0,2.0,834.0,43.644848,-79.40228,Wellington Place,5.0,3950.0
442312901,Zillow,205 Morningside Ave,3.0,1.0,944.0,43.765408,-79.18483,West Hill,156.0,3049.0
344719804,Zillow,94 Eastdale Ave,3.0,3.0,1220.0,43.69503,-79.30172,Taylor-Massey,61.0,3725.0
441760473,Zillow,355 Saint Clair Ave W,3.0,1.0,1780.0,43.683125,-79.413155,Casa Loma,29.0,6130.0
352591595,Zillow,3443 Bathurst St,3.0,3.0,1480.0,43.728065,-79.43145,Bedford Park-Nortown,46.0,3999.0
439504994,Zillow,44 Jackes Ave,3.0,2.0,1137.0,43.685795,-79.391174,Rosedale-Moore Park,44.0,4575.0
439933548,Zillow,1731 Eglinton Ave W,3.0,1.0,1000.0,43.696213,-79.44688,Oakwood Village,93.0,2995.0
442375580,Zillow,3967 Lawrence Ave E,3.0,2.0,1132.0,43.76397,-79.20321,Golfdale-Cedarbrae-Woburn,147.0,3124.0
2064089459,Zillow,20 Forest Manor Rd,3.0,1.0,1300.0,43.770073,-79.34427,Henry Farm,88.0,3250.0
440157110,Zillow,7 Grosvenor St,3.0,2.0,959.0,43.66281,-79.38402,Bay-Cloverhill,8.0,5175.0
440922271,Zillow,214 Saint George St,3.0,1.0,945.0,43.671234,-79.40182,Annex,12.0,4000.0
2079697694,Zillow,66 Isabella St,3.0,2.0,934.0,43.668472,-79.3829,Church-Wellesley,28.0,3850.0
440952038,Zillow,730 Hillsdale Ave E,3.0,3.0,1356.0,43.70792,-79.37636,Mount Pleasant East,14.0,5750.0
440952246,Zillow,2 Secord Ave,3.0,2.0,1270.0,43.69313,-79.3016,Taylor-Massey,61.0,2919.0
441866107,Zillow,15 Eva Rd,3.0,1.0,1069.0,43.638435,-79.56202,Etobicoke West Mall,121.0,3179.0
440160358,Zillow,3390 Keele St,3.0,2.0,1057.0,43.74695,-79.48847,York University Heights,145.0,3266.0
347144588,Zillow,100 Graydon Hall Dr,3.0,2.0,908.0,43.76543,-79.34434,Fenside-Parkwoods,139.0,2800.0
2055452794,Zillow,1225 York Mills Rd,3.0,2.0,921.0,43.759567,-79.330956,Fenside-Parkwoods,139.0,3099.0
358028834,Zillow,2737 Kipling Ave,3.0,2.0,1117.0,43.75331,-79.58657,Mount Olive-Silverstone-Jamestown,141.0,3149.0
