Property URL,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Image URL,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,Latitude,Longitude,Zillow property ID,Property is a building,Building name,Unit availability count
"https://www.zillow.com/b/55-charles-st-e-toronto-on-BMLFRv/","Apartment","","","4000","","","","3","","","","","","55 Charles St E","Toronto","NaN","","","","No","Unit located in: Red-Three Building",""
"https://www.zillow.com/homedetails/795-Indian-Rd-Toronto-ON-M6P-2E4/2063185464_zpid/","Apartment","21","10/16/2024","3800","","","","3","2","https://photos.zillowstatic.com/fp/869e0777591d0004a599e9d0f41f0038-p_e.jpg","No","No","","795 Indian Rd","Toronto","NaN","43.663616","-79.459","2063185464","","",""
"https://www.zillow.com/b/building/43.765343,-79.41261_ll/","Building","21","10/16/2024","","","","","","","https://photos.zillowstatic.com/fp/22cd1a944f61cab0915a551fe981e7ad-p_e.jpg","","","","4968 Yonge St","Toronto","NaN","43.765343","-79.41261","43.765343--79.41261","Yes","Blue-Eight Building (Randomly generated building name as it is not provided by Zillow)","2"
"https://www.zillow.com/b/building/43.765343,-79.41261_ll/","Apartment","","","3200","","","","3","","","","","","4968 Yonge St","Toronto","NaN","","","","No","Unit located in: Blue-Eight Building",""
"https://www.zillow.com/b/15-fort-york-blvd-toronto-on-BMCMNt/","Building","21","10/16/2024","","","","","","","https://photos.zillowstatic.com/fp/864e193a39b4e51ab01a48027db4424d-p_e.jpg","","","","15 Fort York Blvd","Toronto","NaN","43.640087","-79.39396","43.640087--79.39396","Yes","Red-Six Building (Randomly generated building name as it is not provided by Zillow)","2"
"https://www.zillow.com/b/15-fort-york-blvd-toronto-on-BMCMNt/","Apartment","","","3850","","","","3","","","","","","15 Fort York Blvd","Toronto","NaN","","","","No","Unit located in: Red-Six Building",""
"https://www.zillow.com/b/120-parliament-st-toronto-on-BbccMq/","Building","11","10/26/2024","","","","","","","https://photos.zillowstatic.com/fp/71e351c53c3066ef55502b5989370c99-p_e.jpg","","","","120 Parliament St","Toronto","NaN","43.65388","-79.364006","43.65388--79.364006","Yes","Blue-Zero Building (Randomly generated building name as it is not provided by Zillow)","3"
"https://www.zillow.com/b/120-parliament-st-toronto-on-BbccMq/","Apartment","","","2800","","","","3","","","","","","120 Parliament St","Toronto","NaN","","","","No","Unit located in: Blue-Zero Building",""
"https://www.zillow.com/homedetails/110-Marine-Parade-Dr-305-Toronto-ON-M8V-0B6/2081911128_zpid/","Condominium","21","10/16/2024","4200","","","","3","2","https://photos.zillowstatic.com/fp/7008e6e11ce78f020e4fc8516751afce-p_e.jpg","No","No","# 305","110 Marine Parade Dr","Toronto","NaN","43.625294","-79.47797","2081911128","","",""
"https://www.zillow.com/homedetails/1701-McCowan-Rd-Toronto-ON-M1S-2Y3/2077844900_zpid/","Apartment","9","10/28/2024","2850","1180","sqft","2.42","3","2","https://photos.zillowstatic.com/fp/80ed1a336b8694a92f7768f31d7b24af-p_e.jpg","No","No","","1701 McCowan Rd","Toronto","NaN","43.788326","-79.25602","2077844900","","",""
"https://www.zillow.com/homedetails/70-Stevenvale-Dr-Toronto-ON-M1G-1E1/417855659_zpid/","Apartment","21","10/16/2024","2899","850","sqft","3.41","3","1","https://photos.zillowstatic.com/fp/2a0318dc61943a2a72defefd3d1c6aeb-p_e.jpg","No","No","","70 Stevenvale Dr","Toronto","NaN","43.75894","-79.22137","417855659","","",""
"https://www.zillow.com/homedetails/155-William-Duncan-Rd-1-Toronto-ON-M3K-0B9/439403606_zpid/","Condominium","21","10/16/2024","2549","","","","3","1","https://photos.zillowstatic.com/fp/2fd599fa0f8c4f8647b7a6928409d609-p_e.jpg","No","No","# 1","155 William Duncan Rd","Toronto","NaN","43.736313","-79.4755","439403606","","",""
"https://www.zillow.com/homedetails/397-Front-St-W-1103-Toronto-ON-M5V-3S1/2056255315_zpid/","Condominium","22","10/15/2024","3600","","","","3","2","https://photos.zillowstatic.com/fp/3355035ae42a44f44796ab7952cbc76d-p_e.jpg","No","No","# 1103","397 Front St W","Toronto","NaN","43.6427","-79.393364","2056255315","","",""
"https://www.zillow.com/b/1403-royal-york-rd-toronto-on-BMJhXQ/","Building","16","10/21/2024","","","","","","","https://photos.zillowstatic.com/fp/0d3783693002738531ada2e43560e546-p_e.jpg","","","","1403 Royal York Rd","Toronto","NaN","43.683006","-79.525955","43.683006--79.525955","Yes","Red-Seven Building (Randomly generated building name as it is not provided by Zillow)","3"
"https://www.zillow.com/b/1403-royal-york-rd-toronto-on-BMJhXQ/","Apartment","","","3000","","","","3","","","","","","1403 Royal York Rd","Toronto","NaN","","","","No","Unit located in: Red-Seven Building",""
"https://www.zillow.com/b/55-charles-st-w-toronto-on-BMTJhJ/","Building","22","10/15/2024","","","","","","","https://photos.zillowstatic.com/fp/804bcb13c7fcb1536a8a18d85351fa44-p_e.jpg","","","","55 Charles St W  Unit 2704","Toronto","NaN","43.667686","-79.38902","43.667686--79.38902","Yes","Indigo-Three Building (Randomly generated building name as it is not provided by Zillow)","3"
"https://www.zillow.com/b/55-charles-st-w-toronto-on-BMTJhJ/","Apartment","","","4775","","","","3","","","","","","55 Charles St W  Unit 2704","Toronto","NaN","","","","No","Unit located in: Indigo-Three Building",""
